시군구,위도,경도
전라남도 순천시,34.9506,127.4872
전라남도 나주시,35.0161,126.7108
전라남도 광양시,34.9407,127.6959
전라남도 담양군,35.3211,126.9882
전라남도 곡성군,35.2820,127.2919
전라남도 구례군,35.2025,127.4627
전라남도 고흥군,34.6112,127.2850
전라남도 보성군,34.7715,127.0799
전라남도 화순군,35.0645,126.9865
전라남도 장흥군,34.6817,126.9069
전라남도 강진군,34.6421,126.7673
전라남도 해남군,34.5733,126.5989
전라남도 영암군,34.8002,126.6968
전라남도 무안군,34.9905,126.4817
전라남도 함평군,35.0659,126.5166
전라남도 영광군,35.2772,126.5120
전라남도 장성군,35.3018,126.7849
전라남도 완도군,34.3111,126.7551
전라남도 진도군,34.4869,126.2635
전라남도 신안군,34.8273,126.1011
경상북도 포항시,36.0190,129.3435
경상북도 경주시,35.8562,129.2247
경상북도 김천시,36.1398,128.1136
경상북도 안동시,36.5684,128.7294
경상북도 구미시,36.1195,128.3446
경상북도 영주시,36.8057,128.6241
경상북도 영천시,35.9733,128.9385
경상북도 상주시,36.4109,128.1591
경상북도 문경시,36.5861,128.1868
경상북도 경산시,35.8251,128.7415
경상북도 군위군,36.2428,128.5728
경상북도 의성군,36.3527,128.6970
경상북도 청송군,36.4359,129.0571
경상북도 영양군,36.6667,129.1124
경상북도 영덕군,36.4151,129.3660
경상북도 청도군,35.6473,128.7339
경상북도 고령군,35.7261,128.2630
경상북도 성주군,35.9190,128.2830
경상북도 칠곡군,35.9953,128.4015
경상북도 예천군,36.6577,128.4529
경상북도 봉화군,36.8931,128.7324
경상북도 울진군,36.9931,129.4004
경상북도 울릉군,37.4844,130.9058
경상남도 창원시,35.2538,128.6403
경상남도 진주시,35.1800,128.1076
경상남도 통영시,34.8544,128.4332
경상남도 사천시,35.0038,128.0642
경상남도 김해시,35.2285,128.8894
경상남도 밀양시,35.5038,128.7464
경상남도 거제시,34.8806,128.6211
경상남도 양산시,35.3350,129.0372
경상남도 의령군,35.3222,128.2617
경상남도 함안군,35.2726,128.4065
경상남도 창녕군,35.5446,128.4922
경상남도 고성군,34.9731,128.3222
경상남도 남해군,34.8377,127.8924
경상남도 하동군,35.0672,127.7513
경상남도 산청군,35.4156,127.8735
경상남도 함양군,35.5205,127.7252
경상남도 거창군,35.6867,127.9095
경상남도 합천군,35.5666,128.1658
제주특별자치도 제주시,33.4996,126.5312
제주특별자치도 서귀포시,33.2541,126.5601
